id,mls_number,coordinates_source,coordinates_geohash,latitude,longitude,title,home_type,sub_type,offer,status,banner_id,property_class,property_type,unit_name,unit_number,corporation_number,corporation_jurisdiction,asking_price,advertise_permission,featured,exclusive,promoted,building_id,building_age_max,building_age,address_id,street_id,neighbourhood_id,neighbourhood_name,sublocality_id,sublocality_name,locality_id,locality_name,locality_parent_id,locality_parent_name,locality_grandparent_id,locality_grandparent_name,province_id,province_name,country_id,country_name,url,tax,tax_year,bedrooms,bedrooms_plus,bed_type,bed_type_num,bathrooms,furnished,parking_spots,parking_type,locker_type,sqft_min,sqft_max,sqft,sqft_source,lot_size,lot_front,lot_depth,pin_to_front,ranking,maintenance_fee,photo_count,photo_version,photo_base_url,pool,furnished_id,property_class_name,entry_date,entry_date_unix,street_name,brokerage,brokerage_id,brokerage_name,date_available,date_available_period,exposure,outdoor_space,pets_permitted,created_at,source_timestamp,slogan,has_locker,has_balcony,amenities,tags,title_to_land,filter_type,filter_value,type,subtitle,open_houses,_geoloc,objectID,_highlightResult
688216,W5447491,Address,dpz2pju4qgnwb6zccrsc,43.6257392,-79.4912787,3 Chimes Lane,Townhouse,Townhouse,Sale,Active,,Freehold,,,,,,1098000,1,0,0,0,,15,6-15,133344,6285,792,Stonegate-Queensway,16,Etobicoke,1,Toronto,1,Toronto Division,1,GTA,9,Ontario,1,Canada,toronto/3-chimes-lane-etobicoke,4594.82,2021,3,1,3+1,3.1,4,No,2,Garage,,2000,2500,,,1066,19,55,,,,28,2,https://shared-s3.property.ca/public/images/listings/optimized/w5447491/mls/,None,,,2021-12-02,1638476513,Chimes Lane,"MCCANN REALTY GROUP LTD., BROKERAGE",,,30 60,2022-Jan,,,,2021-12-02 20:29:17,2021-12-02 20:18:51,,,0,[],[],,mls_number,W5447491,SearchListing,W5447491 | For Sale,[],"{'lat': 43.6257392, 'lng': -79.4912787}",W5447491,"{'mls_number': {'value': 'W5447491', 'matchLevel': 'none', 'matchedWords': []}, 'title': {'value': '3 Chimes Lane', 'matchLevel': 'none', 'matchedWords': []}}"
688200,C5447459,Address,dpz90bemnj9f7w2u5bmr,43.7731661,-79.4154428,1703 - 30 Canterbury Pl,Condo,Condo Apartment,Sale,Active,,Condo,Condo Apt,1703,3,1918,TSCC,699000,1,0,0,0,349,13,13,144398,7792,814,Willowdale West,17,North York,1,Toronto,1,Toronto Division,1,GTA,9,Ontario,1,Canada,toronto/dia-condominiums-30-canterbury-pl/unit-1703-C5447459,2010.24,2021,2,,2,2,2,No,1,Owned,Owned,600,699,694,Calculated,,,,,,649.63,34,2,https://shared-s3.property.ca/public/images/listings/optimized/c5447459/mls/,None,,,2021-12-02,1638476507,Canterbury Place,"RE/MAX ALL-STARS BENCZIK TEAM REALTY, BROKERAGE",,,Immediate/Tba,2021-Dec,NE,Open Balcony,Restrictions,2021-12-02 20:29:15,2021-12-02 19:59:30,,1,1,"['BBQ Permitted', 'Concierge', 'Guest Suites', 'Gym', 'Party Room', 'Visitor Parking', 'FibreStream Internet', 'Meeting Room', 'Parking Garage', 'Pet Restriction', 'Sauna', 'Security Guard', 'Security System', 'Indoor Pool', 'Rec Room', 'Enter Phone System']",[],,mls_number,C5447459,SearchListing,C5447459 | For Sale,[],"{'lat': 43.7731661, 'lng': -79.4154428}",C5447459,"{'mls_number': {'value': 'C5447459', 'matchLevel': 'none', 'matchedWords': []}, 'title': {'value': '1703 - 30 Canterbury Pl', 'matchLevel': 'none', 'matchedWords': []}}"
688162,W5447421,Address,dpz2tf2z438srykywt0d,43.6952107,-79.5508744,1402 - 11 Wincott Dr,Condo,Condo Apartment,Sale,Active,,Condo,Condo Apt,1402,014,212,YCC,449900,0,0,0,0,1862,46,46,54337,5857,800,Kingsview Village | The Westway,16,Etobicoke,1,Toronto,1,Toronto Division,1,GTA,9,Ontario,1,Canada,toronto/tiffany-place-11-wincott-dr/unit-1402-W5447421,890,2021,1,,1,1,1,No,1,Underground,None,900,999,,,,,,,,496.46,20,2,https://shared-s3.property.ca/public/images/listings/optimized/w5447421/mls/,None,,,2021-12-02,1638474089,Wincott Drive,PEAK PROFESSIONALS REALTY INC BROKERAGE,,,Immediate,2021-Dec,W,Open Balcony,Restrictions,2021-12-02 19:49:16,2021-12-02 19:32:48,,0,1,"['Games Room', 'Gym', 'Indoor Pool', 'Security System', 'Tennis Court', 'Visitor Parking', 'Pets', 'Parking Garage', 'Sauna', 'Security Guard', 'Bike Storage', 'Concierge', 'Meeting Room', 'Party Room', 'Rec Room', 'Enter Phone System']",[],,mls_number,W5447421,SearchListing,W5447421 | For Sale,[],"{'lat': 43.6952107, 'lng': -79.5508744}",W5447421,"{'mls_number': {'value': 'W5447421', 'matchLevel': 'none', 'matchedWords': []}, 'title': {'value': '1402 - 11 Wincott Dr', 'matchLevel': 'none', 'matchedWords': []}}"
688160,C5447435,Address,dpz8dvm4wkpzyr71dzp7,43.7109317,-79.3251301,1407 - 15 Vicora Linkway Way,Condo,Condo Apartment,Sale,Active,,Condo,Condo Apt,1407,7,77,YCC,479000,1,0,0,0,1939,49,49,2009044,8109,258,Flemingdon Park,6,East York,1,Toronto,1,Toronto Division,1,GTA,9,Ontario,1,Canada,toronto/15-vicora-linkway-15-vicora-linkway/unit-1407-C5447435,1195.56,2021,2,,2,2,1,No,1,Underground,Owned,900,999,,,,,,,,707.75,14,2,https://shared-s3.property.ca/public/images/listings/optimized/c5447435/mls/,None,,,2021-12-02,1638474089,Vicora Linkway,"ROYAL LEPAGE YOUR COMMUNITY REALTY, BROKERAGE",,,Tba,2021-Dec,SW,Open Balcony,Restrictions,2021-12-02 19:49:15,2021-12-02 19:39:37,,1,1,"['Bike Storage', 'Gym', 'Indoor Pool', 'Security Guard', 'Visitor Parking', 'Parking Garage', 'Pet Restriction', 'Sauna', 'Security System', 'BBQ Permitted', 'Party Room', 'Enter Phone System']",[],,mls_number,C5447435,SearchListing,C5447435 | For Sale,[],"{'lat': 43.7109317, 'lng': -79.3251301}",C5447435,"{'mls_number': {'value': 'C5447435', 'matchLevel': 'none', 'matchedWords': []}, 'title': {'value': '1407 - 15 Vicora Linkway Way', 'matchLevel': 'none', 'matchedWords': []}}"
688159,C5447430,Address,dpz8cxt3366pj6m2ensj,43.7670125,-79.3799407,3 - 25 Dervock Cres,Townhouse,Townhouse,Sale,Active,,Condo,Condo Townhouse,3,11,2826,TSCC,1688000,1,0,0,0,,5,0-5,2687414,6835,828,Bayview Village,17,North York,1,Toronto,1,Toronto Division,1,GTA,9,Ontario,1,Canada,toronto/15-dervock-crescent-north-york/unit-3-C5447430,0,2021,4,,4,4,4,No,2,Underground,None,2250,2499,,,,,,,,566.88,39,2,https://shared-s3.property.ca/public/images/listings/optimized/c5447430/mls/,None,,,2021-12-02,1638474089,Dervock Crescent,"CENTURY 21 MILLER REAL ESTATE LTD., BROKERAGE",,,Imme/Flex,2021-Dec,E,Terrace,Restrictions,2021-12-02 19:49:15,2021-12-02 19:34:49,,0,1,['BBQ Permitted'],[],,mls_number,C5447430,SearchListing,C5447430 | For Sale,[],"{'lat': 43.7670125, 'lng': -79.3799407}",C5447430,"{'mls_number': {'value': 'C5447430', 'matchLevel': 'none', 'matchedWords': []}, 'title': {'value': '3 - 25 Dervock Cres', 'matchLevel': 'none', 'matchedWords': []}}"
688157,C5447415,Address,dpz94k0d1r3v1k4kruf3,43.7918870,-79.3535054,3406 - 3303 Don Mills Rd,Condo,Condo Apartment,Sale,Active,,Condo,Condo Apt,3406,06,362,YCC,749880,1,0,0,0,9679,44,44,376233,3495,827,Don Valley Village,17,North York,1,Toronto,1,Toronto Division,1,GTA,9,Ontario,1,Canada,toronto/skymark-i-3303-don-mills-rd/unit-3406-C5447415,2272.97,2021,2,,2,2,2,No,2,Underground,Ensuite,1600,1799,,,,,,,,1251.05,21,2,https://shared-s3.property.ca/public/images/listings/optimized/c5447415/mls/,None,,,2021-12-02,1638474089,Don Mills Road,"FOREST HILL REAL ESTATE INC., BROKERAGE",,,Flexible,2021-Dec,SE,Open Balcony,No,2021-12-02 19:49:15,2021-12-02 19:24:46,,1,1,"['Gym', 'Indoor Pool', 'Outdoor Pool', 'Party Room', 'Security Guard', 'Tennis Court', 'Rec Room', 'Security System', 'Meeting Room', 'Visitor Parking']",[],,mls_number,C5447415,SearchListing,C5447415 | For Sale,[],"{'lat': 43.791887, 'lng': -79.3535054}",C5447415,"{'mls_number': {'value': 'C5447415', 'matchLevel': 'none', 'matchedWords': []}, 'title': {'value': '3406 - 3303 Don Mills Rd', 'matchLevel': 'none', 'matchedWords': []}}"
688107,C5447342,Address,dpz88e6ktf7zpuy9yus3,43.7002792,-79.4278103,211 - 170 Chiltern Hill Rd,Condo,Condo Apartment,Sale,Active,,Condo,Condo Apt,211,11,2645,TSCC,1499000,1,0,0,0,1339,3,3,2015798,54695,875,Humewood-Cedarvale,21,Midtown | Central,1,Toronto,1,Toronto Division,1,GTA,9,Ontario,1,Canada,toronto/the-hill-condominiums-in-the-upper-village-170-chiltern-hill-rd/unit-211-C5447342,5945.16,2021,3,,3,3,2,No,1,Underground,Owned,1400,1599,1376,Calculated,,,,,,1448.13,35,2,https://shared-s3.property.ca/public/images/listings/optimized/c5447342/mls/,None,,,2021-12-02,1638474089,Chiltern Hill Road,"RE/MAX REALTRON ROBERT KROLL REALTY, BROKERAGE",,,60-90 Days Tba,2022-Jan,S,Open Balcony,Restrictions,2021-12-02 18:49:16,2021-12-02 19:25:22,,1,1,"['BBQ Permitted', 'Concierge', 'Guest Suites', 'Media Room', 'Party Room']",['Mid-Rise'],,mls_number,C5447342,SearchListing,C5447342 | For Sale,[],"{'lat': 43.7002792, 'lng': -79.4278103}",C5447342,"{'mls_number': {'value': 'C5447342', 'matchLevel': 'none', 'matchedWords': []}, 'title': {'value': '211 - 170 Chiltern Hill Rd', 'matchLevel': 'none', 'matchedWords': []}}"
688123,C5447362,Address,dpz8f3mrvy9vfdxxqyn2,43.7338186,-79.3467890,305 - 99 The Donway W,Condo,Condo Apartment,Sale,Active,,Condo,Condo Apt,305,305,2620,TSCC,549900,1,0,0,0,1299,4,4,172374,8541,820,Banbury | Don Mills,17,North York,1,Toronto,1,Toronto Division,1,GTA,9,Ontario,1,Canada,toronto/flaire-condos-99-the-donway-w/unit-305-C5447362,2340.18,2021,1,1,1+1,1.1,2,No,1,Underground,Owned,600,699,663,Calculated,,,,,,546.88,22,2,https://shared-s3.property.ca/public/images/listings/optimized/c5447362/mls/,None,,,2021-12-02,1638472907,The Donway West,"HOMELIFE GALAXY REAL ESTATE LTD., BROKERAGE",,,30/60,2022-Jan,SW,Open Balcony,Restrictions,2021-12-02 19:09:16,2021-12-02 19:02:09,,1,1,"['BBQ Permitted', 'Concierge', 'Gym', 'Party Room', 'Visitor Parking', 'Rooftop Deck', 'Media Room', 'Meeting Room', 'Parking Garage', 'Pet Restriction', 'Security Guard', 'Security System', 'Bike Storage', 'Enter Phone System']",[],,mls_number,C5447362,SearchListing,C5447362 | For Sale,[],"{'lat': 43.7338186, 'lng': -79.346789}",C5447362,"{'mls_number': {'value': 'C5447362', 'matchLevel': 'none', 'matchedWords': []}, 'title': {'value': '305 - 99 The Donway W', 'matchLevel': 'none', 'matchedWords': []}}"
687889,E5446848,Address,dpz8gxncm7g613kbgmjm,43.7642731,-79.2898170,1529 - 18 Mondeo Dr,Condo,Condo Apartment,Sale,Active,,Condo,Condo Apt,1529,29,1737,TSCC,559800,1,0,0,0,480,16,16,396362,12866,763,Dorset Park,15,Scarborough,1,Toronto,1,Toronto Division,1,GTA,9,Ontario,1,Canada,toronto/mondeo-springs-2-18-mondeo-dr/unit-1529-E5446848,1558.08,2021,1,1,1+1,1.1,1,No,1,Underground,None,600,699,683,Calculated,,,,,,454.36,24,2,https://shared-s3.property.ca/public/images/listings/optimized/e5446848/mls/,None,,,2021-12-02,1638471672,Mondeo Drive,"ROYAL LEPAGE SIGNATURE REALTY, BROKERAGE",,,Tba,2021-Dec,N,Open Balcony,Restrictions,2021-12-02 14:29:16,2021-12-02 18:44:56,,0,1,"['Concierge', 'Gym', 'Indoor Pool', 'Sauna', 'Security Guard', 'Public Transit', 'Party Room', 'Visitor Parking', 'Elevator', 'Guest Suites', 'Meeting Room', 'Parking Garage', 'Pet Restriction', 'Security System', 'Games Room', 'Rec Room']",['High-Rise'],,mls_number,E5446848,SearchListing,E5446848 | For Sale,[],"{'lat': 43.7642731, 'lng': -79.289817}",E5446848,"{'mls_number': {'value': 'E5446848', 'matchLevel': 'none', 'matchedWords': []}, 'title': {'value': '1529 - 18 Mondeo Dr', 'matchLevel': 'none', 'matchedWords': []}}"
688093,C5447305,Address,dpz83tbhhxtysucmgkzs,43.6700090,-79.3870060,3209 - 1 Bloor St,Condo,Condo Apartment,Sale,Active,,Condo,Condo Apt,3209,09,2577,TSCC,1098000,1,0,0,0,1392,5,0-5,2738369,159547,748,Yonge and Bloor,14,Downtown,1,Toronto,1,Toronto Division,1,GTA,9,Ontario,1,Canada,toronto/1-bloor-street-toronto/unit-3209-C5447305,4356.52,2021,1,1,1+1,1.1,2,No,1,Underground,Owned,700,799,719,Calculated,,,,,,697,14,2,https://shared-s3.property.ca/public/images/listings/optimized/c5447305/mls/,None,,,2021-12-02,1638471672,Bloor Street,"HOMELIFE SUPERSTARS REAL ESTATE LIMITED, BROKERAGE",,,Jan/2022,2021-Dec,W,Open Balcony,Restrictions,2021-12-02 18:29:18,2021-12-02 18:50:20,,1,1,"['Concierge', 'Gym', 'Indoor Pool', 'Outdoor Pool', 'Party Room', 'Rooftop Deck']",[],,mls_number,C5447305,SearchListing,C5447305 | For Sale,[],"{'lat': 43.670009, 'lng': -79.387006}",C5447305,"{'mls_number': {'value': 'C5447305', 'matchLevel': 'none', 'matchedWords': []}, 'title': {'value': '3209 - 1 Bloor St', 'matchLevel': 'none', 'matchedWords': []}}"
